Title of debate,Date,Members,Classification,Year
AQI Monitoring Centres,08/08/22,P.C. MohanRajendra Agrawal,,2022
DPR for Protection of Rivers,08/08/22,Rattan Lal Kataria,,2022
Relocation of Tigress T-102,08/08/22,Dushyant Singh,,2022
Incentivise Recycling,08/08/22,Maddila Gurumoorthy,,2022
Forest Cover,08/08/22,Agatha K. Sangma,,2022
Air and Noise Pollution,08/08/22,Arun Sao,,2022
Inclusion of Fish Species into Schedule A,08/08/22,T.N. Prathapan,,2022
Alternatives to Single Use Plastic,08/08/22,Dharambir SinghUday Pratap Singh,,2022
Recycling of e-Waste by Informal Sector,08/08/22,B.Y.RaghavendraAnnasaheb Shankar JolleJaisiddeshwar Shivacharya MahaswamijiL.S. Tejasvi SuryaPrathap SimhaS. MuniswamySanganna Amarappa KaradiUmesh G. Jadhav,,2022
Metrics used by EPI,08/08/22,Gaurav Gogoi,,2022
Survey regarding Nilgai,08/08/22,Chandra Prakash Joshi,,2022
Poaching/Killing of Wild Animals,08/08/22,Maulana Badruddin Ajmal,,2022
Marsh Lands,08/08/22,Kani K. Navas,,2022
Conservation of Forest in Madhya Pradesh,08/08/22,Gajendra Singh PatelDurga Das Uikey,,2022
Indian Forest Service,08/08/22,Kumbakudi Sudhakaran,,2022
Greenwashing Mechanism,08/08/22,Alok Kumar Suman,,2022
Miyawaki Method of Afforestation,08/08/22,Vishnu Datt Sharma,,2022
Funds for Project Elephant,08/08/22,Pinaki Misra,,2022
Plastic Waste,08/08/22,Nalin Kumar Kateel,,2022
Single Use Plastic,08/08/22,Dileshwar KamaitNavneet Ravi Rana,,2022
Munroe Thuruthu Wetland,08/08/22,Suresh Kodikunnil,,2022
Funds Allocated under NLCP,08/08/22,Arjunlal Meena,,2022
Decrease in Forest Cover,08/08/22,Kunwar Danish Ali,,2022
Air Pollution Global Cities Ranking,08/08/22,Jyotsna Charandas Mahant,,2022
Damage Caused by Wild Animals,08/08/22,Chandra Prakash Choudhary,,2022
Recycling Units for e-Waste,08/08/22,Kalaben Mohanbhai DelkarArvind Ganpat Sawant,,2022
Incentive Programmes to Increase Forest Cover,08/08/22,Janardan Singh Sigriwal,,2022
Special Tiger Protection Force,08/08/22,Shriniwas Dadasaheb Patil,,2022
Pollution in Beaches,08/08/22,Ramya Haridas,,2022
Redevelopment of Auroville,08/08/22,Mala Roy,,2022
Commission for Air Quality Management,08/08/22,Sanjay Sadashivrao MandlikBidyut Baran MahatoManoj Kumar TiwariPrataprao Ganpatrao JadhavRavindra KushawahaRavi Kishan ShuklaDhairyasheel S. ManeShrirang Appa BarneSudheer Gupta,,2022
"Wildlife Protection Act, 1972",08/08/22,Rajmohan UnnithanK. Shanmuga Sundaram,,2022
Light Detection and Ranging based Survey,08/08/22,Poonam MahajanDebasree Chaudhuri,,2022
Environmental Clearance to Projects,08/08/22,Gowdar Mallikarjunappa Siddeshwara,,2022
Directives to Water Purifier Manufacturers,08/08/22,Bharat Ram Margani,,2022
Ivory Smuggling,08/08/22,Rita Bahuguna JoshiAparupa PoddarHeena Vijayakumar GavitKrishnapal Singh YadavShrikant Eknath ShindeSujay Radhakrishna Vikhepatil,,2022
Violation of Environmental Rules,08/01/22,Shrikant Eknath ShindeRita Bahuguna Joshi,,2022
National Adaptation Fund on Climate Change,08/01/22,Chinta Anuradha,,2022
Protection/Promotion of Trees on Barren Land,08/01/22,Ranjeeta KoliManoj RajoriaSumedhanand Saraswati,,2022
Participation of NGOs in Environmental Projects,08/01/22,Hemant Shriram PatilChandan SinghDileshwar KamaitGeeta KoraJugal Kishore SharmaJyotirmay Singh MahatoNavneet Ravi RanaRama DeviRiti Pathak,,2022
Encroachment of Forest Land,08/01/22,Sanganna Amarappa Karadi,,2022
Inspection by CPCB,08/01/22,T. Sumathy (A) Thamizhachi Thangapandian,,2022
Star Rating System,08/01/22,Achyutananda Samanta,,2022
Conservation of Vikramshila Gangetic Dolphin Sanctuary,08/01/22,Ajay Kumar Mandal,,2022
Plantation of Saplings/Trees,08/01/22,Shriniwas Dadasaheb PatilBheemrao Baswanthrao Patil,,2022
Research and Development Schemes,08/01/22,Sanjay (Kaka) Ramchandra Patil,,2022
People living in Reserve Forests,08/01/22,S. Gnanathiraviam,,2022
Wild Animal Attacks,08/01/22,M. P. Abdussamad Samadani,,2022
Penalty for Violation of Environmental Rules,08/01/22,Gopal Chinayya Shetty,,2022
Violation of Environmental Norms,08/01/22,Hanuman Beniwal,,2022
Funds Allocated/Utilised under NCAP,08/01/22,Pradyut Bordoloi,,2022
Plantation Drive to increase Forest,08/01/22,Chandeshwar Prasad,,2022
Haryali Mahotsav,08/01/22,Bidyut Baran MahatoPrataprao Ganpatrao JadhavRavindra KushawahaRavi Kishan ShuklaDhairyasheel S. ManeSanjay Sadashivrao MandlikShrirang Appa BarneSubrat PathakSudheer Gupta,,2022
Death due to various Pollution,08/01/22,Naranbhai KachhadiaDevji PatelParbatbhai Savabhai PatelSudhakar Tukaram Shrangare,,2022
Vacancy in National Green Tribunals,08/01/22,E. T. Mohammed Basheer,,2022
India State of Forest Report,08/01/22,Bhartruhari Mahtab,,2022
Performance-based Grants,08/01/22,Sunita Duggal,,2022
Nagar Van Yojana,08/01/22,Midhun Reddy,,2022
Granite Quarry near Wildlife Sancturies,08/01/22,Suresh Kodikunnil,,2022
Initiatives/Plans for Conservation of Biodiversirty,08/01/22,Sunil Kumar Mondal,,2022
Green House Gas Emissions,7/25/2022,Manicka Tagore,,2022
Draft EIA 2020,7/25/2022,Kuruva Gorantla Madhav,,2022
Funds Transferred to Urban Local Bodies,7/25/2022,Kinjarapu Ram Mohan NaiduT. Sumathy (A) Thamizhachi Thangapandian,,2022
Compensatory Afforestation Fund Management and Planning Authority,7/25/2022,Dharmendra Kumar Kashyap,,2022
Human-Wildlife Conflict,7/25/2022,DNV Senthilkumar S,,2022
Coastal Regulation Zone,7/25/2022,Thomas Chazhikadan,,2022
Forest Depletion,7/25/2022,Mimi Chakraborty,,2022
Urban Agglomeration,7/25/2022,Dayakar PasunooriGaddam Ranjith ReddyKavitha MalothVenkatesh Netha Borlakunta,,2022
Plastic Pollution,7/25/2022,Uday Pratap Singh,,2022
Ban on Coal as a Fuel,7/25/2022,Ramesh Bidhuri,,2022
"Amendments in Environment Protection Act, 1986",7/25/2022,Jayanta Kumar RoySangeeta Kumari Singh DeoSaugata RoySushil Kumar Singh,,2022
Male Mahadeshwara Wildlife Sanctuary,7/25/2022,Prajwal Revanna,,2022
Impact of Pollution in NCR,7/25/2022,Sukhbir Singh Jaunpuria,,2022
Area under ESZ,7/25/2022,Rajmohan UnnithanPraveen Kumar Nishad,,2022
Translocation of Asiatic Lions,7/25/2022,Sanjay (Kaka) Ramchandra Patil,,2022
Alternatives to Plastics,7/25/2022,Sangamlal Kadedin GuptaP.P. ChaudharyPratap Chandra Sarangi,,2022
Scientific Disposal of E-Waste,7/25/2022,Manoj RajoriaHemant Tukaram GodseSumedhanand Saraswati,,2022
Forest Cover,7/25/2022,Rattan Lal KatariaBholanath (B.P. Saroj),,2022
Elephant Corridors in Odisha,7/25/2022,Chandrani Murmu,,2022
Biological Parks/Zoos,7/25/2022,Bhagirath Choudhary,,2022
Kozhikode under ESZ,7/25/2022,M. K. Raghavan,,2022
Non-Attainment Cities,7/25/2022,Sunita DuggalPradyut Bordoloi,,2022
Genetic Engineering Approval Committee,7/25/2022,P. Velusamy,,2022
Projects Pending for Environmental Clearance,7/25/2022,Ajay Kumar MandalHemant Shriram PatilKirron KherPradeep Kumar Singh,,2022
Import of Cheetah,7/25/2022,Rajiv Pratap Rudy,,2022
Use of Plastic in Packaging Food Items,7/25/2022,Upendra Singh Rawat,,2022
Elephant Reserves in Odisha,7/25/2022,Jual Oram,,2022
Air Quality Index,7/18/2022,Jaskaur Meena,,2022
Pollution caused by Rashtriya Chemicals Fertilizers Ltd.,7/18/2022,Sadashiv Kisan Lokhande,,2022
Attack of Wild Elephants,7/18/2022,Kumbakudi Sudhakaran,,2022
Green Climate Fund,7/18/2022,Chandrashekhar SahuGirish Bhalchandra BapatPritam Gopinath MundeRahul Ramesh Shewale,,2022
Norms for Effluent Discharge in Waterbodies,7/18/2022,Ramya Haridas,,2022
Extended Producer Responsibility,7/18/2022,V.K. Sreekandan,,2022
Garbage Dumps,7/18/2022,Kotagiri Sridhar,,2022
Deaths due to Pollution,7/18/2022,Kotha Prabhakar ReddyAshok Kumar Rawat,,2022
Ex-Post Facto Environmental Clearances,7/18/2022,Kuruva Gorantla Madhav,,2022
Ban on Development Projects in ESZs,7/18/2022,Subrat PathakBidyut Baran MahatoManoj Kumar TiwariPrataprao Ganpatrao JadhavRavindra KushawahaRavi Kishan ShuklaDhairyasheel S. ManeSanjay Sadashivrao MandlikShrirang Appa BarneSudheer Gupta,,2022
Demarcating Buffer Zones under ESZ,7/18/2022,K. MuraleedharanA. M. AriffAdoor PrakashAnto AntonyDean KuriakoseM. K. RaghavanSaugata Roy,,2022
Air Pollution,7/18/2022,Bhartruhari Mahtab,,2022
E-Waste Management,7/18/2022,Geeta KoraA. ChellakumarBehanan BennyDileshwar KamaitLocket Chatterjee,,2022
National Clean Air Programme,7/18/2022,Vishnu Dayal RamC.N. AnnaduraiDhanush M. KumarGajanan Chandrakant KirtikarGanesan SelvamGautham Sigamani PonManjulata Mandal,,2022
Forest Cover in the Country,7/18/2022,Malook Nagar,,2022
Guidelines for saving crops from Wild Animals,7/18/2022,Ramdas Chandrabhanji Tadas,,2022
Increasing Cases of Forest Fires,7/18/2022,Ravneet SinghMalook NagarSu Thirunavukkarasar,,2022
Project Elephant,7/18/2022,Chinta Anuradha,,2022
COP 26,7/18/2022,T. Sumathy (A) Thamizhachi ThangapandianThalikkottai Rajuthevar Baalu,,2022
Use of Plastic in Packaging Industry,7/18/2022,Vinayak Bhaurao RautOmprakash Bhupalsingh alias Pavan RajenimbalkarSaugata Roy,,2022
Ecological Sensitive Areas,7/18/2022,Suresh Kodikunnil,,2022
Sea Erosion,7/18/2022,Kani K. Navas,,2022
Funds for CAMPA Scheme,7/18/2022,Kanimozhi Karunanidhi,,2022
Environmental Pollution,7/18/2022,Sanjay Seth,,2022
Protection and Preservation of Wetlands,7/18/2022,Sujay Radhakrishna VikhepatilHeena Vijayakumar GavitKani K. NavasKotagiri SridharKrishnapal Singh YadavRita Bahuguna JoshiShrikant Eknath Shinde,,2022
Pollution caused by Old Factories,7/18/2022,Vijay Kumar Dubey,,2022
Clearance to Coal Based Power Plants,7/18/2022,Umesh G. JadhavAnnasaheb Shankar JolleB.Y.RaghavendraJaisiddeshwar Shivacharya MahaswamijiSanganna Amarappa Karadi,,2022
Human-Elephant Encounters,7/18/2022,Kotha Prabhakar Reddy,,2022
Import of PET Bottles,7/18/2022,Adala Prabhakara ReddyVenkata Satyavathi BeesettiKotagiri Sridhar,,2022
Emission of Toxic Gases from Landfills,7/18/2022,Gyaneshwar Patil,,2022
Cutting of Trees without Permission,7/18/2022,Kunwar Danish Ali,,2022
Guidelines for Burning of Crop Residues,04/04/22,Bholanath (B.P. Saroj),,2022
Assessment of Forest,04/04/22,Kalyan Banerjee,,2022
Bio-Digester Units,04/04/22,Venkata Satyavathi BeesettiMidhun ReddySanjeev Kumar Singari,,2022
Tiger Deaths,04/04/22,Adala Prabhakara Reddy,,2022
Targets sets under Green India Mission,04/04/22,Kotagiri Sridhar,,2022
Imparting Traing to Forest Workers,04/04/22,Vijay BaghelArun SaoDevji PatelRanjeetsingh Naik NimbalkarSudhakar Tukaram Shrangare,,2022
National Zoo Policy,04/04/22,Vinod Kumar SonkarBhola SinghRaja Amareshwara NaikSukanta Majumdar,,2022
Monitoring Mechanism for the Activities under CAMPA,04/04/22,Nama Nageswara Rao,,2022
Green House Gases,04/04/22,Thirumaa Valavan Thol,,2022
Introduction of Rhinoceroses in Corbett Tiger Reserves,04/04/22,K. Shanmuga Sundaram,,2022
Dyeing Units with Zero Liquid Discharge Plant,04/04/22,A.K.P. Chinraj,,2022
Private Sector in Adaptation Technologies,04/04/22,Thalikkottai Rajuthevar Baalu,,2022
Environmental Clearance to Rayalseema Lift Irrigation Schme,04/04/22,Goddeti Madhavi,,2022
Installation of Smog Towers,04/04/22,Arvind Ganpat Sawant,,2022
Tiger Attacks,04/04/22,Ashok Mahadeorao Nete,,2022
Urban Afforestation Schemes,04/04/22,M. K. Raghavan,,2022
Funds for Afforestation,04/04/22,Srinivas Reddy ManneKomati Reddy Venkat Reddy,,2022
Funds for NCAP,04/04/22,T. Sumathy (A) Thamizhachi ThangapandianKinjarapu Ram Mohan Naidu,,2022
Environment Audit Report,04/04/22,Arvind Ganpat SawantKrupal Balaji Tumane,,2022
Ban on the Use of Asbestos,04/04/22,Raghu Ramakrishna Raju Kanumuru,,2022
Forest Fire,04/04/22,Bharati Dhirubhai ShiyalNama Nageswara Rao,,2022
Steps to Control Desertification,04/04/22,Chandra Prakash JoshiSangamlal Kadedin Gupta,,2022
Impact of Climate Change on Disabled/Old People,04/04/22,Ritesh Pandey,,2022
Incentive for Seedling Plantation,04/04/22,Bharat Ram Margani,,2022
Concept of Famillial Forestry,04/04/22,Vinod Kumar SonkarBhola SinghJayanta Kumar RoyRaja Amareshwara NaikSangeeta Kumari Singh DeoSukanta Majumdar,,2022
Innovating Technologies for Solid Waste Management,04/04/22,Kumbakudi SudhakaranRaghu Ramakrishna Raju Kanumuru,,2022
Waste Land Development Board,04/04/22,Bhagirath Choudhary,,2022
Plantation of Sapling,04/04/22,Hemant Shriram Patil,,2022
Online Monitoring of Pollution,04/04/22,Ramcharan Bohra,,2022
Combating the Climate Crisis,04/04/22,Kani K. Navas,,2022
Steps to Increase Forest Cover,04/04/22,Sanjay Sadashivrao MandlikBidyut Baran MahatoPrataprao Ganpatrao JadhavDhairyasheel S. ManeShrirang Appa BarneSudheer Gupta,,2022
Shortage of Officials for Field Verification,04/04/22,Sudheer GuptaBidyut Baran MahatoPrataprao Ganpatrao JadhavDhairyasheel S. ManeSanjay Sadashivrao MandlikShrirang Appa Barne,,2022
E-Waste Management,04/04/22,Poonamben Hematbhai MaadamKirit Premjibhai Solanki,,2022
Management of Grasslands,04/04/22,Pushpendra Singh Chandel,,2022
Commission on Air Quality Management in NCR and Adjoining Areas,04/04/22,Parvesh Sahib SinghFeroze Varun Gandhi,,2022
Survey on Blackbucks,04/04/22,Rajiv Pratap Rudy,,2022
Funds for Green India Mission,04/04/22,Dhal Singh Bisen,,2022
Financial Assistance to curb Desertification,3/28/2022,Ritesh Pandey,,2022
Air Quality Monitoring Stations,3/28/2022,Rajan Baburao Vichare,,2022
Damage to Mada Mangrove in Andhra Pradesh,3/28/2022,Kinjarapu Ram Mohan Naidu,,2022
Assessment of Western Ghats,3/28/2022,Shashi Tharoor,,2022
Guidelines for Fire and Safety Audit,3/28/2022,Jayanta Kumar Roy,,2022
Impact of Climate Change and Globalization,3/28/2022,Balak Nath,,2022
Sources of Pollution,3/28/2022,Arvind Ganpat Sawant,,2022
Phasing out of Single Use Plastics,3/28/2022,Vishnu Datt Sharma,,2022
Illegal Dumping of E-Waste,3/28/2022,T.N. Prathapan,,2022
Social Forestry Schemes,3/28/2022,Vinod Kumar SonkarSangeeta Kumari Singh Deo,,2022
Allocation/Utilisation of funds under CAMPA,3/28/2022,Narendra KumarChandra Prakash Joshi,,2022
Registration for Extended Producer Liability,3/28/2022,Sanjay SethVishnu Dayal Ram,,2022
Deaths of Animals,3/28/2022,Chandrani Murmu,,2022
Amendment in Biological Diversity Act,3/28/2022,Manicka Tagore,,2022
Funds for Environment Preservation,3/28/2022,S. Gnanathiraviam,,2022
Green India Mission,3/28/2022,Durga Das UikeyUday Pratap Singh,,2022
Funds for National Afforestation Programme,3/28/2022,Rahul Ramesh ShewaleChandrashekhar SahuGirish Bhalchandra BapatPritam Gopinath MundeSukhbir Singh Jaunpuria,,2022
National Action Plan on Climate Change,3/28/2022,Naranbhai KachhadiaBalubhau Narayanrao (Alias Suresh) DhanorkarMagunta Sreenivasulu ReddyParbatbhai Savabhai Patel,,2022
Funds for Project Tiger,3/28/2022,Rajendra AgrawalP.P. ChaudharySrinivas KesineniSu Thirunavukkarasar,,2022
Forest (Conservation) Act,3/28/2022,Asaduddin Owaisi,,2022
Minimizing Adverse Effects of Development Projects,3/28/2022,Gowdar Mallikarjunappa SiddeshwaraPramod Mahajan,,2022
Environmental Impact of Infrastructural Projects,3/28/2022,Raju Bista,,2022
Ecological Impact of Oil Palm Plantation,3/28/2022,Pradyut Bordoloi,,2022
Illegal Trading of Indian Star Tortoise,3/28/2022,Upendra Singh Rawat,,2022
Green Belt Areas,3/28/2022,Nayab Singh,,2022
States Report on Forest,3/28/2022,T. Sumathy (A) Thamizhachi ThangapandianPradyut BordoloiRakesh Singh,,2022
Steps to curb Man-Animal Conflict,3/28/2022,Saugata RoyChinta AnuradhaDoddaalahalli Kempegowda SureshSumalatha AmbareeshT.N. Prathapan,,2022
Environmental Clearance in Sanctuaries/Protected Areas,3/28/2022,P.R. Natarajan,,2022
Death of Elephants on Railway Tracks,3/28/2022,Sunita Duggal,,2022
Incentive Programmes to Increase Forest Areas,3/28/2022,Saikia Dilip,,2022
Sewage Water Utilisation and Sustainable Stabilisation of Sand Dune Project,3/28/2022,Bhagirath Choudhary,,2022
Survey and Assessment of Wetlands,3/28/2022,Gaurav Gogoi,,2022
Programme on Seagrasses,3/28/2022,Arvind Kumar Sharma,,2022
Funds for Research and Development,3/28/2022,Venkata Satyavathi BeesettiKotagiri SridharSanjay (Kaka) Ramchandra Patil,,2022
Effects of Global Warming on Maritime Flora and Fauna,3/28/2022,Ajay NishadChandan Singh,,2022
Sacred Groves in Meghalaya,3/21/2022,Vincent H. Pala,,2022
Increasing Air Pollution,3/21/2022,Sunita DuggalChandrashekhar Sahu,,2022
Cutting of Trees for Developmental Projects,3/21/2022,Kirit Premjibhai Solanki,,2022
Impact of the Ken-Betwa Link Project,3/21/2022,Faizal P.P. Mohammed,,2022
Conversion of Forest Villages into Revenue Villages,3/21/2022,Rahul Kaswan,,2022
Ranking/Incentive for quick Envionmental Clearance,3/21/2022,Manicka TagoreSu Thirunavukkarasar,,2022
Poaching and Smuggling of Wild Animals,3/21/2022,Kunwar Danish Ali,,2022
IPCC Report on Climate Change,3/21/2022,K. Subbarayan,,2022
Proposal for Effluent Treatment Plants,3/21/2022,Hemant Tukaram Godse,,2022
Forest Land Claimed,3/21/2022,S. MuniswamyAnnasaheb Shankar JolleSanganna Amarappa KaradiUmesh G. Jadhav,,2022
Relocation of Trees,3/21/2022,Dushyant Singh,,2022
Nagar Van Scheme,3/21/2022,Chandra Prakash JoshiPratap Chandra SarangiRam Kripal YadavSangamlal Kadedin Gupta,,2022
Use of Degraded Forest Land,3/21/2022,Pinaki Misra,,2022
Violation of Environmental Norms,3/21/2022,A.K.P. Chinraj,,2022
Tiger Reserve Forest,3/21/2022,Anubhav Mohanty,,2022
Waste Generation in the country,3/21/2022,Midhun Reddy,,2022
Protection of Royal Bengal Tigers,3/21/2022,Sunil Kumar Mondal,,2022
Pollution caused by Industries,3/21/2022,Saumitra Khan,,2022
Causes of Pollution and Smog,3/21/2022,P.C. MohanGajendra Singh PatelKanakmal KataraKeshari Devi Patel,,2022
Death caused by Air Pollution,3/21/2022,T. Sumathy (A) Thamizhachi Thangapandian,,2022
Scheme-wise Budget Allocations,3/21/2022,S. Gnanathiraviam,,2022
Review of Environment Protection Act,3/21/2022,Rama Devi,,2022
Poaching Incidents,3/21/2022,Bhartruhari Mahtab,,2022
Man-Animal Conflict,3/21/2022,Devji PatelA. M. AriffAjay NishadArun SaoChandan SinghRanjeetsingh Naik Nimbalkar,,2022
Projects Pending for Environmental Clearance,3/21/2022,Ramapati Ram Tripathi,,2022
E-waste Collection by Informal Sector,3/21/2022,Anto AntonyFaizal P.P. Mohammed,,2022
Assessment of Solid Waste Management Efficiency,3/21/2022,Feroze Varun GandhiThalikkottai Rajuthevar Baalu,,2022
Mining in Forest Reserved Areas,3/21/2022,Hanuman Beniwal,,2022
Reduce/Recycle of E-Waste,3/21/2022,Bharati Dhirubhai ShiyalShankar Lalwani,,2022
National Adaptation Fund on Climate Change,3/21/2022,Reddeppa Nallakonda Gari,,2022
Restoring and Conserving Nature,3/21/2022,Chandrakant Raghunath Patil,,2022
Recycling of E-waste,3/21/2022,Rajendra AgrawalJagdambika PalP.P. Chaudhary,,2022
Smuggling of Vulture,3/21/2022,Queen OjaBharati Dhirubhai Shiyal,,2022
Conservation of Lakes and Ponds,3/21/2022,Saikia DilipRamesh Chander Kaushik,,2022
Impact of Environment Change,3/21/2022,Mala Rajya Laxmi ShahPushpendra Singh Chandel,,2022
National Coastal Mission,3/21/2022,Balashowry Vallabbhaneni,,2022
Disposal of Waste,3/21/2022,Sanjay Bhatia,,2022
Environment Impact Assessment of Ken Betwa Project,3/21/2022,Adhir Ranjan Chowdhury,,2022
Tiger Attacks,3/21/2022,Akshaibar Lal,,2022
Death of Wild Animals by Electrocution,3/21/2022,Kotagiri Sridhar,,2022
Environmental Clearance to Gas based Electricity Projects,3/21/2022,Ramdas Chandrabhanji Tadas,,2022
Common Bio-medical Waste Treatment and Disposal Facility,3/21/2022,Jugal Kishore SharmaDileshwar KamaitJyotirmay Singh MahatoRamesh Chander KaushikRiti PathakSaikia Dilip,,2022
